# cli-reference entry→inspect crosswalk (V-cliref-link-drift baseline; regenerate: make link-cliref-baseline)
# counts	exact=907	alias=24	manual-only=120	entries=1051
source_path	source_type	match_kind	match_detail
caps-man/acl/access-list	Directory	alias	dropped segment "acl"
caps-man/cfg/configuration	Directory	alias	dropped segment "cfg"
caps-man/chancfg/channel	Directory	alias	dropped segment "chancfg"
caps-man/controller/manager	Settings Directory	alias	dropped segment "controller"
caps-man/controller/manager/interface	Directory	alias	dropped segment "controller"
caps-man/dpathcfg/datapath	Directory	alias	dropped segment "dpathcfg"
caps-man/ifaceactual/actual-interface-configuration	Directory	alias	dropped segment "ifaceactual"
caps-man/ratescfg/rates	Directory	alias	dropped segment "ratescfg"
caps-man/remoteap/remote-cap	Directory	alias	dropped segment "remoteap"
caps-man/remoteap/remote-cap/provision	Command	alias	dropped segment "remoteap"
caps-man/remoteap/remote-cap/set-identity	Command	alias	dropped segment "remoteap"
caps-man/remoteap/remote-cap/upgrade	Command	alias	dropped segment "remoteap"
caps-man/rule/provisioning	Directory	alias	dropped segment "rule"
caps-man/seccfg/security	Directory	alias	dropped segment "seccfg"
caps-man/sta/registration-table	Directory	alias	dropped segment "sta"
colon/root	Directory	manual-only	
colon/root/terminal	Directory	manual-only	
disk/raid-scrub-cancel	Command	manual-only	
interface/bridge/msrp	Directory	manual-only	
interface/bridge/msrp/attributes	Directory	manual-only	
interface/bridge/msrp/domain	Directory	manual-only	
interface/bridge/msrp/domain/attributes	Directory	manual-only	
interface/bridge/msrp/domain/monitor	Command	manual-only	
interface/ethernet/poe	Directory	manual-only	
interface/ethernet/poe/monitor	Command	alias	dropped segment "poe"
interface/ethernet/poe/power-cycle	Command	manual-only	
interface/ethernet/poe/settings	Settings Directory	manual-only	
interface/ethernet/switch/acl	Directory	manual-only	
interface/ethernet/switch/acl/policer	Directory	manual-only	
interface/ethernet/switch/dscp-qos-map	Directory	manual-only	
interface/ethernet/switch/dscp-to-dscp	Directory	manual-only	
interface/ethernet/switch/egress-vlan-tag	Directory	manual-only	
interface/ethernet/switch/egress-vlan-translation	Directory	manual-only	
interface/ethernet/switch/ingress-port-policer	Directory	manual-only	
interface/ethernet/switch/ingress-vlan-translation	Directory	manual-only	
interface/ethernet/switch/l3hw-settings	Settings Directory	manual-only	
interface/ethernet/switch/l3hw-settings/advanced	Settings Directory	manual-only	
interface/ethernet/switch/l3hw-settings/advanced/monitor	Command	manual-only	
interface/ethernet/switch/l3hw-settings/monitor	Command	manual-only	
interface/ethernet/switch/mac-based-vlan	Directory	manual-only	
interface/ethernet/switch/multicast-fdb	Directory	manual-only	
interface/ethernet/switch/one2one-vlan-switching	Directory	manual-only	
interface/ethernet/switch/policer-qos-map	Directory	manual-only	
interface/ethernet/switch/port-leakage	Directory	manual-only	
interface/ethernet/switch/prbs/reset-prbs	Command	manual-only	
interface/ethernet/switch/prbs/start-prbs	Command	manual-only	
interface/ethernet/switch/prbs/stop-prbs	Command	manual-only	
interface/ethernet/switch/protocol-based-vlan	Directory	manual-only	
interface/ethernet/switch/qos	Directory	manual-only	
interface/ethernet/switch/qos-group	Directory	manual-only	
interface/ethernet/switch/qos/map	Directory	manual-only	
interface/ethernet/switch/qos/map/ip	Directory	manual-only	
interface/ethernet/switch/qos/map/vlan	Directory	manual-only	
interface/ethernet/switch/qos/monitor	Command	manual-only	
interface/ethernet/switch/qos/port	Directory	alias	dropped segment "qos"
interface/ethernet/switch/qos/port/reset-counters	Command	alias	dropped segment "qos"
interface/ethernet/switch/qos/priority-flow-control	Directory	manual-only	
interface/ethernet/switch/qos/profile	Directory	manual-only	
interface/ethernet/switch/qos/settings	Settings Directory	manual-only	
interface/ethernet/switch/qos/tx-manager	Directory	manual-only	
interface/ethernet/switch/qos/tx-manager/queue	Directory	manual-only	
interface/ethernet/switch/reserved-fdb	Directory	manual-only	
interface/ethernet/switch/shaper	Directory	manual-only	
interface/ethernet/switch/stats	Settings Directory	manual-only	
interface/ethernet/switch/trunk	Directory	manual-only	
interface/ethernet/switch/unicast-fdb	Directory	manual-only	
interface/ethernet/switch/unicast-fdb/flush	Command	manual-only	
interface/pwr-link/pwr-line	Directory	manual-only	
interface/pwr-link/pwr-line/blink	Command	manual-only	
interface/pwr-link/pwr-line/configure	Command	manual-only	
interface/pwr-link/pwr-line/join	Command	manual-only	
