name	code	category	resolution	hw_url	www_url	needs_review	note
ATL 5G R16	ATLGM&RG520F-EU	LTE products	auto	https://manual.mikrotik.com/hardware/atlgm-and-rg520f-eu	https://mikrotik.com/product/atl_5g_r16		
ATL LTE18 kit	ATLGM&EG18-EA	LTE products	auto	https://manual.mikrotik.com/hardware/atlgm-and-eg18-ea	https://mikrotik.com/product/atl18		
BaseBox 5	RB912UAG-5HPnD-OUT	Wireless systems	auto	https://manual.mikrotik.com/hardware/basebox-series	https://mikrotik.com/product/RB912UAG-5HPnD-OUT		
cAP	RBcAP2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/cap	https://mikrotik.com/product/RBcAP2nD		
cAP ac	RBcAPGi-5acD2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/cap-ac	https://mikrotik.com/product/cap_ac		
cAP ax	cAPGi-5HaxD2HaxD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/cap-ax	https://mikrotik.com/product/cap_ax		
cAP lite	RBcAPL-2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/cap-lite	https://mikrotik.com/product/RBcAPL-2nD-307		
cAP LTE12 ax	cAPGi-5HaxD2HaxD&EG12-EA	LTE products	auto	https://manual.mikrotik.com/hardware/cap-lte12-ax	https://mikrotik.com/product/cap_lte12_ax		
cAP XL ac	RBcAPGi-5acD2nD-XLr4	Indoor wireless	auto	https://manual.mikrotik.com/hardware/cap-xl-ac	https://mikrotik.com/product/cap_xl_ac		
CCR2004-1G-2XS-PCIe	CCR2004-1G-2XS-PCIe	Ethernet routers	auto	https://manual.mikrotik.com/hardware/ccr2004-1g-2xs-pcie	https://mikrotik.com/product/ccr2004_1g_2xs_pcie		
CCR2004-1G-12S+2XS	CCR2004-1G-12S+2XS	Ethernet routers	auto	https://manual.mikrotik.com/hardware/ccr2004-1g-12s-plus-2xs	https://mikrotik.com/product/ccr2004_1g_12s_2xs		
CCR2004-16G-2S+	CCR2004-16G-2S+r2	Ethernet routers	auto	https://manual.mikrotik.com/hardware/ccr2004-16g-2s-plus	https://mikrotik.com/product/ccr2004_16g_2splus		
CCR2004-16G-2S+PC	CCR2004-16G-2S+PC	Ethernet routers	auto	https://manual.mikrotik.com/hardware/ccr2004-16g-2s-plus-pc	https://mikrotik.com/product/ccr2004_16g_2s_pc		
CCR2116-12G-4S+	CCR2116-12G-4S+	Ethernet routers	auto	https://manual.mikrotik.com/hardware/ccr2116-12g-4s-plus	https://mikrotik.com/product/ccr2116_12g_4splus		
CCR2216-1G-12XS-2XQ	CCR2216-1G-12XS-2XQ	Ethernet routers	auto	https://manual.mikrotik.com/hardware/ccr2216-1g-12xs-2xq	https://mikrotik.com/product/ccr2216_1g_12xs_2xq		
Chateau 5G R17 ax	S53UG+5HaxD2HaxD-TC&RG650E-EU	LTE products	auto	https://manual.mikrotik.com/hardware/chateau-5g-r17-ax	https://mikrotik.com/product/chateau_5g_r17_ax		
Chateau LTE6-US	D53G-5HacD2HnD-TC&EG06-A	LTE products	auto	https://manual.mikrotik.com/hardware/chateau-lte6-us	https://mikrotik.com/product/chateau_lte6_us		
Chateau LTE7	D53G-5HacD2HnD-TC&R11e-LTE7	LTE products	auto	https://manual.mikrotik.com/hardware/chateau-lte7	https://mikrotik.com/product/chateau_lte7		
Chateau LTE7 ax	S53UG+5HaxD2HaxD-TC&R11e-LTE7	LTE products	auto	https://manual.mikrotik.com/hardware/chateau-lte7-ax	https://mikrotik.com/product/chateau_lte7_ax		
Chateau LTE12 (2025)	D53G-5HacD2HnD-TC&EG120K-EA		no-hardware-page		https://mikrotik.com/product/chateau_lte12_2025	no-hardware-page	www product chateau_lte12_2025 exists (maintainer-confirmed 2026-07-11); very recent SKU (D53G-5HacD2HnD-TC&EG120K-EA) with the refreshed LTE12 modem, no /hardware page yet. Do not bind to chateau-lte6-us (shares the base code before the &).
Chateau LTE18 ax	S53UG+5HaxD2HaxD-TC&EG18-EA	LTE products	auto	https://manual.mikrotik.com/hardware/chateau-lte18-ax	https://mikrotik.com/product/chateaulte18_ax		
Chateau PRO ax	H53UiG-5HaxQ2HaxQ	Indoor wireless	auto	https://manual.mikrotik.com/hardware/chateau-pro-ax	https://mikrotik.com/product/chateau_pro_ax		
CME Gateway	CME22-2n-BG77	IoT products	auto	https://manual.mikrotik.com/hardware/cme22-2n-bg77	https://mikrotik.com/product/cme_gateway		
CRS106-1C-5S	CRS106-1C-5S	Switches	auto	https://manual.mikrotik.com/hardware/crs106-1c-5s	https://mikrotik.com/product/CRS106-1C-5S		
CRS112-8P-4S-IN	CRS112-8P-4S-IN	Switches	auto	https://manual.mikrotik.com/hardware/crs112-8p-4s-in	https://mikrotik.com/product/crs112_8p_4s_in		
CRS304-4XG-IN	CRS304-4XG-IN	Switches	auto	https://manual.mikrotik.com/hardware/crs304-4xg-in	https://mikrotik.com/product/crs304_4xg_in		
CRS305-1G-4S+IN	CRS305-1G-4S+IN	Switches	auto	https://manual.mikrotik.com/hardware/crs305-1g-4s-plus-in	https://mikrotik.com/product/crs305_1g_4s_in		
CRS309-1G-8S+IN	CRS309-1G-8S+IN	Switches	auto	https://manual.mikrotik.com/hardware/crs309-1g-8s-plus-in	https://mikrotik.com/product/crs309_1g_8s_in		
CRS310-1G-5S-4S+IN	CRS310-1G-5S-4S+IN	Switches	auto	https://manual.mikrotik.com/hardware/crs310-1g-5s-4s-plus-in	https://mikrotik.com/product/crs310_1g_5s_4s_in		
CRS310-8G+2S+IN	CRS310-8G+2S+IN	Switches	auto	https://manual.mikrotik.com/hardware/crs310-8g-plus-2s-plus-in	https://mikrotik.com/product/crs310_8g_2s_in		
CRS312-4C+8XG-RM	CRS312-4C+8XG-RM	Switches	auto	https://manual.mikrotik.com/hardware/crs312-4c-plus-8xg-rm	https://mikrotik.com/product/crs312_4c_8xg_rm		
CRS317-1G-16S+RM	CRS317-1G-16S+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs317-1g-16s-plus-rm	https://mikrotik.com/product/crs317_1g_16s_rm		
CRS320-8P-8B-4S+RM	CRS320-8P-8B-4S+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs320-8p-8b-4s-plus-rm	https://mikrotik.com/product/crs320_8p_8b_4s_rm		
CRS326-4C+20G+2Q+RM	CRS326-4C+20G+2Q+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs326-4c-plus-20g-plus-2q-plus-rm	https://mikrotik.com/product/crs326_4c_20g_2q_rm		
