rosetta_device_id	name	category	discontinued	device_id	product_name	product_code	architecture	cpu	source_hardware_slug	source_www_code	specs_json	alias_count
atl-5g-r16	ATL 5G R16	LTE products	0	1	ATL 5G R16	ATLGM&RG520F-EU	ARM 64bit	88F3720	atlgm-and-rg520f-eu	atl_5g_r16	{"Product code":"ATLGM&RG520F-EU","Suggested price":"$349.00","Architecture":"ARM 64bit","CPU":"88F3720","CPU core count":"2","CPU nominal frequency":"800 MHz","CPU Threads count":"2","RouterOS license":"3","Operating System":"RouterOS v7","Size of RAM":"512 MB","Storage size":"32 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"10 W","Max power consumption without attachments":"10 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"12-56 V","3G Category":"R8 (42.2Mbps Downlink, 5.76Mbps Uplink)","3G bands":"1 (2100MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"20 (2.0 Gbps Downlink, 200 Mbps Uplink)","MIMO DL":"4x4","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz) 32 (1500 MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz) 42 (3500MHz) 43 (3700 MHz)","5G NSA FDD bands":"1 (2100 MHz) 3 (1800 MHz) 5 (850 MHz) 7 (2600 MHz) 8 (900 MHz) 20 (800 MHz) 28 (700 MHz)","5G NSA TDD bands":"38 (2600 MHz) 40 (2300 MHz) 41 (2500 MHz) 75 (1500 MHz) 76 (1500 MHz) 77 (3700 MHz) 78 (3500 MHz)","5G SA FDD bands":"1 (2100 MHz) 3 (1800 MHz) 5 (850 MHz) 7 (2600 MHz) 8 (900 MHz) 20 (800 MHz) 28 (700 MHz)","5G SA TDD bands":"38 (2600 MHz) 40 (2300 MHz) 41 (2500 MHz) 75 (1500 MHz) 76 (1500 MHz) 77 (3700 MHz) 78 (3500 MHz)","TAC":"86945405","10/100/1000 Ethernet ports":"1","Number of 1G Ethernet ports with Reverse PoE (PoE-in)":"1","Number of SIM slots":"1 Modem (Micro SIM)","Number of M.2 slots":"1","Mode button":"Yes","eSIM":"Yes","Certification":"CE, EAC, ROHS","IP":"66","_www_title":"ATL 5G R16","_www_tagline":"Our first outdoor 5G device with built-in eSIM support, powerful directional antennas, and a cutting-edge Release 16 modem – ideal for rural, urban, and IoT deployments.\r\nWith Gigabit Ethernet, PoE-in, and instant MikroTik Connectivity out of the box, it’s the smart, rugged choice for fast and flexible internet anywhere. IP66 certified.","_hardware_title":"ATLGM&RG520F-EU","_non_default_ips":["192.168.188.1"]}	9
atl-lte18-kit	ATL LTE18 kit	LTE products	0	2	ATL LTE18 kit	ATLGM&EG18-EA	ARM 64bit	88F3720	atlgm-and-eg18-ea	atl18	{"Product code":"ATLGM&EG18-EA","Suggested price":"$279.00","Architecture":"ARM 64bit","CPU":"88F3720","CPU core count":"2","CPU nominal frequency":"800 MHz","CPU Threads count":"2","RouterOS license":"3","Operating System":"RouterOS v7","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"8 W","Max power consumption without attachments":"8 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"12-57 V","3G Category":"R8 (42.2Mbps Downlink, 11.2Mbps Uplink)","3G bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"18 (1.2Gbps Downlink, 150Mbps Uplink)","MIMO DL":"4x4","MIMO UL":"1x1","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz)","TAC":"86981604","10/100/1000 Ethernet ports":"1","Number of SIM slots":"1 Modem (Micro SIM)","Number of M.2 slots":"1","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"54","_www_title":"ATL LTE18 kit","_www_tagline":"An advanced technology level (ATL) LTE solution with wide range MIMO 4x4 antennas for fast and stable connectivity in rural and urban areas. Make the most of your mobile coverage!","_hardware_title":"ATLGM&EG18-EA","_non_default_ips":["192.168.188.1"]}	8
basebox-5	BaseBox 5	Wireless systems	0	3	BaseBox 5	RB912UAG-5HPnD-OUT	MIPSBE	AR9342	basebox-series	RB912UAG-5HPnD-OUT	{"Product code":"RB912UAG-5HPnD-OUT","Suggested price":"$89.00","Architecture":"MIPSBE","CPU":"AR9342","CPU core count":"1","CPU nominal frequency":"600 MHz","Dimensions":"246x135x50mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"12 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"8-30 V","Wireless 5 GHz Max data rate":"300 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n","Wireless 5 GHz chip model":"AR9342","Wireless 5 GHz generation":"Wi-Fi 4","10/100/1000 Ethernet ports":"1","Number of SIM slots":"1 Modem (Mini SIM)","MiniPCI-e slots":"1","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","Certification":"CE, EAC, ROHS","_www_title":"BaseBox 5","_www_tagline":"5Ghz integrated AP/Backbone/CPE,\r\n2xRP-SMA Female connectors,\r\nminiPCI-e slot,\r\nGigabit Ethernet","_hardware_title":"BaseBox-series","_fcc_id":["TV7RB912G-2HPND","TV7RB912G-5HPNDM","TV7RB912G-6HPND"],"_ic":["7442A-912G2HPND","7442A-912G5HPNDM","7442A-912G6HPNDM"]}	7
cap	cAP	Indoor wireless	0	4	cAP	RBcAP2nD	MIPSBE	QCA9533	cap	RBcAP2nD	{"Product code":"RBcAP2nD","Suggested price":"$49.95","Architecture":"MIPSBE","CPU":"QCA9533","CPU core count":"1","CPU nominal frequency":"650 MHz","Dimensions":"185mm diameter, 31mm height","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"2","Wireless 2.4 GHz chip model":"QCA9533","Wireless 2.4 GHz generation":"Wi-Fi 4","10/100 Ethernet ports":"1","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"4 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"11-57 V","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP20","Mode button":"Yes","_www_title":"cAP","_www_tagline":"Ceiling AP, Dual-Chain 2.4GHz, 650MHz CPU, RouterOS L4, 802.3at/af support","_hardware_title":"cAP"}	2
cap-ac	cAP ac	Indoor wireless	0	5	cAP ac	RBcAPGi-5acD2nD	ARM 32bit	IPQ-4018	cap-ac	cap_ac	{"Product code":"RBcAPGi-5acD2nD","Suggested price":"$85.00","Architecture":"ARM 32bit","CPU":"IPQ-4018","CPU core count":"4","CPU nominal frequency":"488-896 (auto) MHz","CPU Threads count":"4","Switch chip model":"IPQ-4018","Dimensions":"Round case: ⌀ 136 mm, height: 30 mm; Square case: 145 mm x 145 mm x 30 mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"128 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 50°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"2","Wireless 2.4 GHz chip model":"IPQ-4018","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"2.5","Wireless 5 GHz chip model":"IPQ-4018","Wireless 5 GHz generation":"Wi-Fi 5","WiFi speed":"AC1200","10/100/1000 Ethernet ports":"2","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"24 W","Max power consumption without attachments":"12 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"17-57 V","PoE-out ports":"Ether2","PoE out":"Passive PoE up to 57V","Low voltage PoE-Out current limit":"500 mA","High voltage PoE-Out current limit":"400 mA","Max total out (A)":"500 mA","Certification":"CE, FCC, IC, EAC, ROHS","IP":"20","Mode button":"Yes","_www_title":"cAP ac","_www_tagline":"Dual-band 2.4 / 5GHz wireless access point for mounting on a ceiling or wall with two Gigabit Ethernet ports (one with PoE output), 802.11ac support and IPsec hardware encryption support","_hardware_title":"cAP ac"}	6
cap-ax	cAP ax	Indoor wireless	0	6	cAP ax	cAPGi-5HaxD2HaxD	ARM 64bit	IPQ-6010	cap-ax	cap_ax	{"Product code":"cAPGi-5HaxD2HaxD","Suggested price":"$129.00","Architecture":"ARM 64bit","CPU":"IPQ-6010","CPU core count":"4","CPU nominal frequency":"auto (864 - 1800) MHz","CPU Threads count":"4","Switch chip model":"IPQ-6010","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"1 GB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Wireless 2.4 GHz Max data rate":"574 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n/ax","Antenna gain dBi for 2.4 GHz":"6","Wireless 2.4 GHz chip model":"QCN-5022","Wireless 2.4 GHz generation":"Wi-Fi 6","Wireless 5 GHz Max data rate":"1200 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac/ax","Antenna gain dBi for 5 GHz":"5.5","Wireless 5 GHz chip model":"QCN-5052","Wireless 5 GHz generation":"Wi-Fi 6","WiFi speed":"AX1800","10/100/1000 Ethernet ports":"2","Number of 1G Ethernet ports with PoE-out":"1","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"18-57 V","Max power consumption":"36 W","Max power consumption without attachments":"11 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"18-57 V","PoE-out ports":"Ether2","PoE out":"Passive PoE up to 57V","Low voltage PoE-Out current limit":"600 mA","High voltage PoE-Out current limit":"400 mA","Max total out (A)":"600 mA","Total output current":"0.4","Total output power":"19.2","Certification":"CE, FCC, IC, EAC, ROHS","IP":"20","CPU temperature monitor":"Yes","Mode button":"Yes","_www_title":"cAP ax","_www_tagline":"The best-selling ceiling access point is back – stronger than ever! A new generation of wireless greatness for your office, hotel, mall, or any other setups in crowded areas. Modern quad-core CPU, 1GB of RAM, 2x Gigabit Ethernet ports, PoE, Gen 6 802.11ax wireless, PSU – included!","_hardware_title":"cAP ax"}	6
cap-lite	cAP lite	Indoor wireless	0	7	cAP lite	RBcAPL-2nD	MIPSBE	QCA9533	cap-lite	RBcAPL-2nD-307	{"Product code":"RBcAPL-2nD","Suggested price":"$29.00","Architecture":"MIPSBE","CPU":"QCA9533","CPU core count":"1","CPU nominal frequency":"650 MHz","Dimensions":"Wall case: 88 x 52 x 20 mm Ceiling case: ⌀88 mm x 20 mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"1.5","Wireless 2.4 GHz chip model":"QCA9533","Wireless 2.4 GHz generation":"Wi-Fi 4","10/100 Ethernet ports":"1","MicroUSB input Voltage":"5 V","Number of DC inputs":"2 (PoE-IN, MicroUSB)","Max power consumption":"4 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"10-60 V","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP20","_www_title":"cAP lite","_www_tagline":"Low-cost dual-chain 2.4GHz AP with wall and ceiling enclosure","_hardware_title":"cAP lite"}	7
cap-lte12-ax	cAP LTE12 ax	LTE products	0	8	cAP LTE12 ax	cAPGi-5HaxD2HaxD&EG12-EA	ARM 64bit	IPQ-6010	cap-lte12-ax	cap_lte12_ax	{"Product code":"cAPGi-5HaxD2HaxD&EG12-EA","Suggested price":"$229.00","Architecture":"ARM 64bit","CPU":"IPQ-6010","CPU core count":"4","CPU nominal frequency":"auto (864 - 1800) MHz","CPU Threads count":"4","Switch chip model":"IPQ-6010","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"1 GB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 50°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"18-57 V","Max power consumption":"34 W","Max power consumption without attachments":"13 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"18-57 V","PoE-out ports":"Ether2","PoE out":"Passive PoE up to 57V","Low voltage PoE-Out current limit":"0.6 A","High voltage PoE-Out current limit":"0.4 A","Max total out (A)":"0.6 A","Total output current":"0.6","Total output power":"22.8","3G Category":"R8 (42.2Mbps Downlink, 11.2Mbps Uplink)","3G bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"12 (600Mbps Downlink, 150Mbps Uplink)","MIMO DL":"4x4","MIMO UL":"1x1","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz)","TAC":"86056104","Wireless 2.4 GHz Max data rate":"574 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n/ax","Antenna gain dBi for 2.4 GHz":"6","Wireless 2.4 GHz chip model":"QCN-5022","Wireless 2.4 GHz generation":"Wi-Fi 6","Wireless 5 GHz Max data rate":"1200 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac/ax","Antenna gain dBi for 5 GHz":"5.5","Wireless 5 GHz chip model":"QCN-5022","Wireless 5 GHz generation":"Wi-Fi 6","10/100/1000 Ethernet ports":"2","Number of 1G Ethernet ports with PoE-out":"1","Number of SIM slots":"1 Modem (Micro SIM)","CPU temperature monitor":"Yes","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"cAP LTE12 ax","_www_tagline":"A powerful ceiling access point that offers true Wi-Fi 6 mobility for your pop-up business - now with a CAT12 LTE modem!","_hardware_title":"cAP LTE12 ax"}	8
cap-xl-ac	cAP XL ac	Indoor wireless	0	9	cAP XL ac	RBcAPGi-5acD2nD-XLr4	ARM 32bit	IPQ-4018	cap-xl-ac	cap_xl_ac	{"Product code":"RBcAPGi-5acD2nD-XL","Suggested price":"$99.00","Architecture":"ARM 32bit","CPU":"IPQ-4018","CPU core count":"4","CPU nominal frequency":"488-896 (auto) MHz","CPU Threads count":"4","Switch chip model":"IPQ-4018","Dimensions":"191 x 42 mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"128 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"6","Wireless 2.4 GHz chip model":"IPQ-4018","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"5.5","Wireless 5 GHz chip model":"IPQ-4018","Wireless 5 GHz generation":"Wi-Fi 5","WiFi speed":"AC1200","10/100/1000 Ethernet ports":"2","Number of 1G Ethernet ports with PoE-out":"1","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"24 W","Max power consumption without attachments":"11 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"18-57 V","PoE-out ports":"Ether2","PoE out":"Passive PoE up to 57V","Low voltage PoE-Out current limit":"500 mA","High voltage PoE-Out current limit":"330 mA","Max total out (A)":"500 mA","Certification":"CE, FCC, IC, EAC, ROHS","Mode button":"Yes","_www_title":"cAP XL ac","_www_tagline":"The ceiling AP on steroids! Our bestseller cAP is back – juiced up and stronger than ever. Compared to the previous cAP models, the improved high-gain antenna increases the covered area by up to 100%!","_hardware_title":"cAP XL ac","_fcc_id":["TV7CPGI52XL"]}	9
ccr2004-16g-2s-plus	CCR2004-16G-2S+	Ethernet routers	0	12	CCR2004-16G-2S+	CCR2004-16G-2S+r2	ARM 64bit	AL32400	ccr2004-16g-2s-plus	ccr2004_16g_2splus	{"Product code":"CCR2004-16G-2S+","Suggested price":"$465.00","Architecture":"ARM 64bit","CPU":"AL32400","CPU core count":"4","CPU nominal frequency":"1700 MHz","CPU Threads count":"4","Switch chip model":"88E6191X","Dimensions":"443 x 210 x 44 mm","RouterOS license":"6","Operating System":"RouterOS v7","Size of RAM":"4 GB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-20°C to 60°C","Number of AC inputs":"2","AC input range":"100-240","Number of PSU slots":"2","Frequency (Hz)":"50-60","Max power consumption":"48 W","Max power consumption without attachments":"35 W","Cooling type":"2 fans","10/100/1000 Ethernet ports":"16","SFP+ ports":"2","Serial console port":"RJ45","Number of USB ports":"1","CPU temperature monitor":"Yes","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"IP20","_www_title":"CCR2004-16G-2S+","_www_tagline":"This powerful and affordable router crushes all previous CCR models in single-core performance. 16x Gigabit Ethernet ports, USB, 2x10G SFP+ cages, active cooling and the best  single-core  performance  per  watt & best  overall  performance  per  watt  among  all  the  CCR  devices.","_hardware_title":"CCR2004-16G-2S+"}	6
