"Product name","Product code",Architecture,CPU,"CPU core count","CPU nominal frequency","License level","Operating system","Size of RAM","Storage size",Dimensions,"PoE in","PoE out","PoE out ports","PoE in input Voltage","Number of DC inputs","DC jack input Voltage","Max power consumption","Wireless 2.4 GHz number of chains","Antenna gain dBi for 2.4 GHz","Wireless 5 GHz number of chains","Antenna gain dBi for 5 GHz","10/100 Ethernet ports","10/100/1000 Ethernet ports","Number of 2.5G Ethernet ports","Number of USB ports","Ethernet Combo ports","SFP ports","SFP+ ports","Number of 1G/2.5G/5G/10G Ethernet ports","Number of SIM slots","Memory cards","USB slot type","MSRP (USD)"
"ATL 5G R16",ATLGM&RG520F-EU,"ARM 64bit",88F3720,2,"800 MHz",3,"RouterOS v7","512 MB","32 MB",,802.3af/at,,,"12-56 V",1,,"10 W",,,,,,1,,,,,,,1,,,349.00
"ATL LTE18 kit",ATLGM&EG18-EA,"ARM 64bit",88F3720,2,"800 MHz",3,"RouterOS v7","256 MB","16 MB",,802.3af/at,,,"12-57 V",1,,"8 W",,,,,,1,,,,,,,1,,,279.00
Audience,RBD25G-5HPacQD2HPnD,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",4,RouterOS,"256 MB","128 MB","100 x 235 x 97 mm","Passive PoE",,,"24-57 V",2,"12-57 V","27 W",2,3.5,2,4.5,,2,,,,,,,,,,169.00
"BaseBox 5",RB912UAG-5HPnD-OUT,MIPSBE,AR9342,1,"600 MHz",4,RouterOS,"64 MB","128 MB",246x135x50mm,"Passive PoE",,,"8-30 V",1,,"12 W",,,2,,,1,,1,,,,,1,,"USB type A",89.00
cAP,RBcAP2nD,MIPSBE,QCA9533,1,"650 MHz",4,RouterOS,"64 MB","16 MB","185mm diameter, 31mm height",802.3af/at,,,"11-57 V",1,,"4 W",2,2,,,1,,,,,,,,,,,49.95
"cAP ac",RBcAPGi-5acD2nD,"ARM 32bit",IPQ-4018,4,"488-896 (auto) MHz",4,RouterOS,"128 MB","16 MB","Round case: ⌀ 136 mm, height: 30 mm; Square case: 145 mm x 145 mm x 30 mm",802.3af/at,"Passive PoE up to 57V",Ether2,"17-57 V",1,,"24 W",2,2,2,2.5,,2,,,,,,,,,,85.00
"cAP ax",cAPGi-5HaxD2HaxD,"ARM 64bit",IPQ-6010,4,"auto (864 - 1800) MHz",4,"RouterOS v7","1 GB","128 MB",,802.3af/at,"Passive PoE up to 57V",Ether2,"18-57 V",2,"18-57 V","36 W",2,6,2,5.5,,2,,,,,,,,,,129.00
"cAP lite",RBcAPL-2nD,MIPSBE,QCA9533,1,"650 MHz",4,RouterOS,"64 MB","16 MB","Wall case: 88 x 52 x 20 mm Ceiling case: ⌀88 mm x 20 mm",802.3af/at,,,"10-60 V",2,,"4 W",2,1.5,,,1,,,,,,,,,,,29.00
"cAP LTE12 ax",cAPGi-5HaxD2HaxD&EG12-EA,"ARM 64bit",IPQ-6010,4,"auto (864 - 1800) MHz",4,"RouterOS v7","1 GB","128 MB",,802.3af/at,"Passive PoE up to 57V",Ether2,"18-57 V",2,"18-57 V","34 W",2,6,2,5.5,,2,,,,,,,1,,,229.00
"cAP XL ac",RBcAPGi-5acD2nD-XLr4,"ARM 32bit",IPQ-4018,4,"488-896 (auto) MHz",4,RouterOS,"128 MB","16 MB","191 x 42 mm",802.3af/at,"Passive PoE up to 57V",Ether2,"18-57 V",1,,"24 W",2,6,2,5.5,,2,,,,,,,,,,99.00
